
  STNR     EAST    NORTH      LON      LAT YEAR         MONTH  DAY     RR_1
 68170   272030  7040801  10.4303  63.4225 1967         10     29        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     29       1.0
 68170   272030  7040801  10.4303  63.4225 1967         10     29       1.4
 68170   272030  7040801  10.4303  63.4225 1967         10     29       1.8
 68170   272030  7040801  10.4303  63.4225 1967         10     30        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     30        .4
 68170   272030  7040801  10.4303  63.4225 1967         10     30        .6
 68170   272030  7040801  10.4303  63.4225 1967         10     30       1.0
 68170   272030  7040801  10.4303  63.4225 1967         11     11        .4
 68170   272030  7040801  10.4303  63.4225 1967         11     12        .2
 68170   272030  7040801  10.4303  63.4225 1967         11     12        .4
 68170   272030  7040801  10.4303  63.4225 1967         11     12       1.6
 68170   272030  7040801  10.4303  63.4225 1967         11     14        .2
 68170   272030  7040801  10.4303  63.4225 1967         11     14        .4
 68170   272030  7040801  10.4303  63.4225 1967         11     14        .6
 68170   272030  7040801  10.4303  63.4225 1967         11     14        .8
 68170   272030  7040801  10.4303  63.4225 1967         11     14       1.0
 68170   272030  7040801  10.4303  63.4225 1967         11     15        .2
 68170   272030  7040801  10.4303  63.4225 1967         11     15        .4
 68170   272030  7040801  10.4303  63.4225 1967         11     16        .2
 68170   272030  7040801  10.4303  63.4225 1967         11     16        .4
 68170   272030  7040801  10.4303  63.4225 1967         11     16       1.0
 68170   272030  7040801  10.4303  63.4225 1967         11     16       1.6
 68170   272030  7040801  10.4303  63.4225 1967         11     17        .2
 68170   272030  7040801  10.4303  63.4225 1967         11     17        .4
 68170   272030  7040801  10.4303  63.4225 1967         11     17        .6
 68170   272030  7040801  10.4303  63.4225 1967         11     17       1.6
 68170   272030  7040801  10.4303  63.4225 1967         11     17       2.2
 68170   272030  7040801  10.4303  63.4225 1967         11     17       2.6
 68170   272030  7040801  10.4303  63.4225 1967         11     17       2.8
 68170   272030  7040801  10.4303  63.4225 1967         11     18        .2
 68170   272030  7040801  10.4303  63.4225 1967         11     18        .4
 68170   272030  7040801  10.4303  63.4225 1967         11     18        .6
 68170   272030  7040801  10.4303  63.4225 1967         11     18        .8
 68170   272030  7040801  10.4303  63.4225 1967         11     18       1.0
 68170   272030  7040801  10.4303  63.4225 1967         11     18       1.2
 68170   272030  7040801  10.4303  63.4225 1967         11     18       1.4
 68170   272030  7040801  10.4303  63.4225 1967         11     18       1.8
 68170   272030  7040801  10.4303  63.4225 1967         11     19        .2
 68170   272030  7040801  10.4303  63.4225 1967         11     20        .2
 68170   272030  7040801  10.4303  63.4225 1967         11     20        .4
 68170   272030  7040801  10.4303  63.4225 1967         11     20        .6
 68170   272030  7040801  10.4303  63.4225 1967         11     21        .2
 68170   272030  7040801  10.4303  63.4225 1967         11     21        .4
 68170   272030  7040801  10.4303  63.4225 1967         11     21       1.2
 68170   272030  7040801  10.4303  63.4225 1967         11     21       2.8
 68170   272030  7040801  10.4303  63.4225 1967         11     22        .2
 68170   272030  7040801  10.4303  63.4225 1967         11     22        .4
 68170   272030  7040801  10.4303  63.4225 1967         11     22        .6
 68170   272030  7040801  10.4303  63.4225 1967         11     22        .8
 68170   272030  7040801  10.4303  63.4225 1967         11     22       1.6
 68170   272030  7040801  10.4303  63.4225 1967         11     22       2.2
 68170   272030  7040801  10.4303  63.4225 1967         11     23        .2
 68170   272030  7040801  10.4303  63.4225 1967         11     23        .4
 68170   272030  7040801  10.4303  63.4225 1967         11     23        .8
 68170   272030  7040801  10.4303  63.4225 1967         11     24        .2
 68170   272030  7040801  10.4303  63.4225 1967         11     24        .8
 68170   272030  7040801  10.4303  63.4225 1967         11     24       1.0
 68170   272030  7040801  10.4303  63.4225 1967         11     26        .2
 68170   272030  7040801  10.4303  63.4225 1967         11     26        .6
 68170   272030  7040801  10.4303  63.4225 1967         11     30       2.2
 68170   272030  7040801  10.4303  63.4225 1967         12     01        .2
 68170   272030  7040801  10.4303  63.4225 1967         12     01        .4
 68170   272030  7040801  10.4303  63.4225 1967         12     01       1.0
 68170   272030  7040801  10.4303  63.4225 1967         12     01       1.6
 68170   272030  7040801  10.4303  63.4225 1967         12     02        .2
 68170   272030  7040801  10.4303  63.4225 1967         12     02        .4
 68170   272030  7040801  10.4303  63.4225 1967         12     02        .8
 68170   272030  7040801  10.4303  63.4225 1967         12     02       1.6
 68170   272030  7040801  10.4303  63.4225 1967         12     02       1.8
 68170   272030  7040801  10.4303  63.4225 1967         12     02       2.2
 68170   272030  7040801  10.4303  63.4225 1967         12     02       2.4
 68170   272030  7040801  10.4303  63.4225 1967         12     02       2.6
 68170   272030  7040801  10.4303  63.4225 1967         12     02       5.6
 68170   272030  7040801  10.4303  63.4225 1967         12     02       6.0
 68170   272030  7040801  10.4303  63.4225 1967         12     03        .2
 68170   272030  7040801  10.4303  63.4225 1967         12     03        .6
 68170   272030  7040801  10.4303  63.4225 1967         12     03        .8
